255,192,203
255,182,193
255,105,180
255,20,147
219,112,147
199,21,133
255,160,122
250,128,114
233,150,122
240,128,128
205,92,92
220,20,60
178,34,34
139,0,0
255,0,0
255,69,0
255,99,71
255,127,80
255,140,0
255,165,0
255,255,0
255,255,224
255,250,205
250,250,210
255,239,213
255,228,181
255,218,185
238,232,170
255,248,220
255,235,205
255,228,196
255,222,173
245,222,179
222,184,135
210,180,140
188,143,143
244,164,96
205,133,63
210,105,30
139,69,19
160,82,45
165,42,42
128,0,0
0,255,255
0,255,255
224,255,255
175,238,238
127,255,212
64,224,208
72,209,204
0,206,209
32,178,170
95,158,160
176,196,222
176,224,230
173,216,230
135,206,235
135,206,250
0,191,255
30,144,255
100,149,237
70,130,180
65,105,225
0,0,255
0,0,205
0,0,139
0,0,128
25,25,112
230,230,250
216,191,216
221,160,221
238,130,238
218,112,214
255,0,255
255,0,255
186,85,211
147,112,219
138,43,226
148,0,211
153,50,204
139,0,139
128,0,128
75,0,130
72,61,139
106,90,205
123,104,238
255,255,255
